pickup_date,pickup_month,dispatching_base,trips
2015-01-01,2015-01,B02512,1275
2015-01-01,2015-01,B02598,7029
2015-01-01,2015-01,B02617,9845
2015-01-01,2015-01,B02682,7715
2015-01-01,2015-01,B02764,30347
2015-01-01,2015-01,B02765,1834
2015-01-02,2015-01,B02512,933
2015-01-02,2015-01,B02598,4825
2015-01-02,2015-01,B02617,7332
2015-01-02,2015-01,B02682,5540
2015-01-02,2015-01,B02764,20617
2015-01-02,2015-01,B02765,1040
2015-01-03,2015-01,B02512,1157
2015-01-03,2015-01,B02598,7437
2015-01-03,2015-01,B02617,11001
2015-01-03,2015-01,B02682,8090
2015-01-03,2015-01,B02764,30598
2015-01-03,2015-01,B02765,1561
2015-01-04,2015-01,B02512,848
2015-01-04,2015-01,B02598,5295
2015-01-04,2015-01,B02617,8017
2015-01-04,2015-01,B02682,5655
2015-01-04,2015-01,B02764,21110
2015-01-04,2015-01,B02765,1018
2015-01-05,2015-01,B02512,1063
2015-01-05,2015-01,B02598,5801
2015-01-05,2015-01,B02617,8075
2015-01-05,2015-01,B02682,6102
2015-01-05,2015-01,B02764,21506
2015-01-05,2015-01,B02765,1131
2015-01-06,2015-01,B02512,1399
2015-01-06,2015-01,B02598,6797
2015-01-06,2015-01,B02617,10383
2015-01-06,2015-01,B02682,7609
2015-01-06,2015-01,B02764,25974
2015-01-06,2015-01,B02765,1377
2015-01-07,2015-01,B02512,1532
2015-01-07,2015-01,B02598,8334
2015-01-07,2015-01,B02617,11794
2015-01-07,2015-01,B02682,9225
2015-01-07,2015-01,B02764,30748
2015-01-07,2015-01,B02765,1742
2015-01-08,2015-01,B02512,1907
2015-01-08,2015-01,B02598,10155
2015-01-08,2015-01,B02617,13853
2015-01-08,2015-01,B02682,10532
2015-01-08,2015-01,B02764,34615
2015-01-08,2015-01,B02765,1954
2015-01-09,2015-01,B02512,1713
2015-01-09,2015-01,B02598,9584
2015-01-09,2015-01,B02617,13532
2015-01-09,2015-01,B02682,10622
2015-01-09,2015-01,B02764,34577
2015-01-09,2015-01,B02765,2096
2015-01-10,2015-01,B02512,1810
2015-01-10,2015-01,B02598,10383
2015-01-10,2015-01,B02617,14242
2015-01-10,2015-01,B02682,11786
2015-01-10,2015-01,B02764,40187
2015-01-10,2015-01,B02765,2248
2015-01-11,2015-01,B02512,1255
2015-01-11,2015-01,B02598,7374
2015-01-11,2015-01,B02617,11254
2015-01-11,2015-01,B02682,8611
2015-01-11,2015-01,B02764,28581
2015-01-11,2015-01,B02765,1676
2015-01-12,2015-01,B02512,1530
2015-01-12,2015-01,B02598,7885
2015-01-12,2015-01,B02617,10919
2015-01-12,2015-01,B02682,9232
2015-01-12,2015-01,B02764,27665
2015-01-12,2015-01,B02765,1760
2015-01-13,2015-01,B02512,1800
2015-01-13,2015-01,B02598,8611
2015-01-13,2015-01,B02617,12049
2015-01-13,2015-01,B02682,9775
2015-01-13,2015-01,B02764,30788
2015-01-13,2015-01,B02765,1742
2015-01-14,2015-01,B02512,1720
2015-01-14,2015-01,B02598,8809
2015-01-14,2015-01,B02617,12202
2015-01-14,2015-01,B02682,9899
2015-01-14,2015-01,B02764,30473
2015-01-14,2015-01,B02765,1622
2015-01-15,2015-01,B02512,1753
2015-01-15,2015-01,B02598,9129
2015-01-15,2015-01,B02617,12888
2015-01-15,2015-01,B02682,10484
2015-01-15,2015-01,B02764,32136
2015-01-15,2015-01,B02765,1821
2015-01-16,2015-01,B02512,1630
2015-01-16,2015-01,B02598,9839
2015-01-16,2015-01,B02617,13283
2015-01-16,2015-01,B02682,11385
2015-01-16,2015-01,B02764,35910
2015-01-16,2015-01,B02765,2146
2015-01-17,2015-01,B02512,1382
2015-01-17,2015-01,B02598,9587
2015-01-17,2015-01,B02617,13102
2015-01-17,2015-01,B02682,11414
2015-01-17,2015-01,B02764,37689
2015-01-17,2015-01,B02765,2190
2015-01-18,2015-01,B02512,1677
2015-01-18,2015-01,B02598,9552
2015-01-18,2015-01,B02617,13301
2015-01-18,2015-01,B02682,11303
2015-01-18,2015-01,B02764,36356
2015-01-18,2015-01,B02765,2334
2015-01-19,2015-01,B02512,1129
2015-01-19,2015-01,B02598,5558
2015-01-19,2015-01,B02617,8015
2015-01-19,2015-01,B02682,7155
2015-01-19,2015-01,B02764,23581
2015-01-19,2015-01,B02765,1587
2015-01-20,2015-01,B02512,1411
2015-01-20,2015-01,B02598,7156
2015-01-20,2015-01,B02617,10171
2015-01-20,2015-01,B02682,8647
2015-01-20,2015-01,B02764,26829
2015-01-20,2015-01,B02765,1653
2015-01-21,2015-01,B02512,1612
2015-01-21,2015-01,B02598,7947
2015-01-21,2015-01,B02617,11262
2015-01-21,2015-01,B02682,9567
2015-01-21,2015-01,B02764,28175
2015-01-21,2015-01,B02765,1820
2015-01-22,2015-01,B02512,1665
2015-01-22,2015-01,B02598,8979
2015-01-22,2015-01,B02617,12414
2015-01-22,2015-01,B02682,10785
2015-01-22,2015-01,B02764,30919
2015-01-22,2015-01,B02765,2057
2015-01-23,2015-01,B02512,1809
2015-01-23,2015-01,B02598,9333
2015-01-23,2015-01,B02617,13365
2015-01-23,2015-01,B02682,11914
2015-01-23,2015-01,B02764,34745
2015-01-23,2015-01,B02765,2197
2015-01-24,2015-01,B02512,1740
2015-01-24,2015-01,B02598,10009
2015-01-24,2015-01,B02617,14549
2015-01-24,2015-01,B02682,13539
2015-01-24,2015-01,B02764,40325
2015-01-24,2015-01,B02765,2426
2015-01-25,2015-01,B02512,1312
2015-01-25,2015-01,B02598,7220
2015-01-25,2015-01,B02617,10646
2015-01-25,2015-01,B02682,9455
2015-01-25,2015-01,B02764,28980
2015-01-25,2015-01,B02765,1769
2015-01-26,2015-01,B02512,1054
2015-01-26,2015-01,B02598,5862
2015-01-26,2015-01,B02617,7820
2015-01-26,2015-01,B02682,7640
2015-01-26,2015-01,B02764,20553
2015-01-26,2015-01,B02765,1381
2015-01-27,2015-01,B02512,683
2015-01-27,2015-01,B02598,2942
2015-01-27,2015-01,B02617,4425
2015-01-27,2015-01,B02682,4511
2015-01-27,2015-01,B02764,12455
2015-01-27,2015-01,B02765,938
2015-01-28,2015-01,B02512,1530
2015-01-28,2015-01,B02598,7957
2015-01-28,2015-01,B02617,11015
2015-01-28,2015-01,B02682,10116
2015-01-28,2015-01,B02764,29084
2015-01-28,2015-01,B02765,1924
2015-01-29,2015-01,B02512,1767
2015-01-29,2015-01,B02598,9443
2015-01-29,2015-01,B02617,12841
2015-01-29,2015-01,B02682,11619
2015-01-29,2015-01,B02764,32673
2015-01-29,2015-01,B02765,2098
2015-01-30,2015-01,B02512,2136
2015-01-30,2015-01,B02598,11136
2015-01-30,2015-01,B02617,15110
2015-01-30,2015-01,B02682,13959
2015-01-30,2015-01,B02764,40445
2015-01-30,2015-01,B02765,2779
2015-01-31,2015-01,B02512,1984
2015-01-31,2015-01,B02598,11652
2015-01-31,2015-01,B02617,16143
2015-01-31,2015-01,B02682,15485
2015-01-31,2015-01,B02764,45866
2015-01-31,2015-01,B02765,3318
2015-02-01,2015-02,B02512,1511
2015-02-01,2015-02,B02598,9456
2015-02-01,2015-02,B02617,13790
2015-02-01,2015-02,B02682,12533
2015-02-01,2015-02,B02764,38656
2015-02-01,2015-02,B02765,2646
2015-02-02,2015-02,B02512,1965
2015-02-02,2015-02,B02598,9308
2015-02-02,2015-02,B02617,12529
2015-02-02,2015-02,B02682,12081
2015-02-02,2015-02,B02764,31691
2015-02-02,2015-02,B02765,2619
2015-02-03,2015-02,B02512,2086
2015-02-03,2015-02,B02598,9473
2015-02-03,2015-02,B02617,12903
2015-02-03,2015-02,B02682,12134
2015-02-03,2015-02,B02764,32542
2015-02-03,2015-02,B02765,2394
2015-02-04,2015-02,B02512,1748
2015-02-04,2015-02,B02598,9476
2015-02-04,2015-02,B02617,12268
2015-02-04,2015-02,B02682,11467
2015-02-04,2015-02,B02764,30974
2015-02-04,2015-02,B02765,2304
2015-02-05,2015-02,B02512,2145
2015-02-05,2015-02,B02598,11482
2015-02-05,2015-02,B02617,14824
2015-02-05,2015-02,B02682,13876
2015-02-05,2015-02,B02764,36995
2015-02-05,2015-02,B02765,3014
2015-02-06,2015-02,B02512,2172
2015-02-06,2015-02,B02598,11756
2015-02-06,2015-02,B02617,15702
2015-02-06,2015-02,B02682,14525
2015-02-06,2015-02,B02764,39846
2015-02-06,2015-02,B02765,3567
2015-02-07,2015-02,B02512,1637
2015-02-07,2015-02,B02598,10426
2015-02-07,2015-02,B02617,13937
2015-02-07,2015-02,B02682,13600
2015-02-07,2015-02,B02764,39699
2015-02-07,2015-02,B02765,3453
2015-02-08,2015-02,B02512,1321
2015-02-08,2015-02,B02598,8098
2015-02-08,2015-02,B02617,11202
2015-02-08,2015-02,B02682,10491
2015-02-08,2015-02,B02764,30596
2015-02-08,2015-02,B02765,2619
2015-02-09,2015-02,B02512,1666
2015-02-09,2015-02,B02598,8059
2015-02-09,2015-02,B02617,11172
2015-02-09,2015-02,B02682,10367
2015-02-09,2015-02,B02764,29172
2015-02-09,2015-02,B02765,2870
2015-02-10,2015-02,B02512,1676
2015-02-10,2015-02,B02598,8601
2015-02-10,2015-02,B02617,11636
2015-02-10,2015-02,B02682,10730
2015-02-10,2015-02,B02764,30079
2015-02-10,2015-02,B02765,3475
2015-02-11,2015-02,B02512,1944
2015-02-11,2015-02,B02598,9901
2015-02-11,2015-02,B02617,13003
2015-02-11,2015-02,B02682,12366
2015-02-11,2015-02,B02764,32730
2015-02-11,2015-02,B02765,3798
2015-02-12,2015-02,B02512,2218
2015-02-12,2015-02,B02598,11531
2015-02-12,2015-02,B02617,14547
2015-02-12,2015-02,B02682,14031
2015-02-12,2015-02,B02764,37781
2015-02-12,2015-02,B02765,4643
2015-02-13,2015-02,B02512,2585
2015-02-13,2015-02,B02598,12881
2015-02-13,2015-02,B02617,17324
2015-02-13,2015-02,B02682,16225
2015-02-13,2015-02,B02764,44958
2015-02-13,2015-02,B02765,5924
2015-02-14,2015-02,B02512,2185
2015-02-14,2015-02,B02598,12549
2015-02-14,2015-02,B02617,17362
2015-02-14,2015-02,B02682,16617
2015-02-14,2015-02,B02764,47259
2015-02-14,2015-02,B02765,6375
2015-02-15,2015-02,B02512,2156
2015-02-15,2015-02,B02598,11377
2015-02-15,2015-02,B02617,15001
2015-02-15,2015-02,B02682,14830
2015-02-15,2015-02,B02764,42487
2015-02-15,2015-02,B02765,5469
2015-02-16,2015-02,B02512,1703
2015-02-16,2015-02,B02598,8921
2015-02-16,2015-02,B02617,12130
2015-02-16,2015-02,B02682,11431
2015-02-16,2015-02,B02764,34540
2015-02-16,2015-02,B02765,4947
2015-02-17,2015-02,B02512,1940
2015-02-17,2015-02,B02598,9362
2015-02-17,2015-02,B02617,12676
2015-02-17,2015-02,B02682,11949
2015-02-17,2015-02,B02764,33387
2015-02-17,2015-02,B02765,4907
2015-02-18,2015-02,B02512,1729
2015-02-18,2015-02,B02598,9374
2015-02-18,2015-02,B02617,12204
2015-02-18,2015-02,B02682,11867
2015-02-18,2015-02,B02764,33222
2015-02-18,2015-02,B02765,5097
2015-02-19,2015-02,B02512,2263
2015-02-19,2015-02,B02598,11569
2015-02-19,2015-02,B02617,15014
2015-02-19,2015-02,B02682,14716
2015-02-19,2015-02,B02764,40229
2015-02-19,2015-02,B02765,6480
2015-02-20,2015-02,B02512,2568
2015-02-20,2015-02,B02598,12680
2015-02-20,2015-02,B02617,17158
2015-02-20,2015-02,B02682,16465
2015-02-20,2015-02,B02764,46018
2015-02-20,2015-02,B02765,7873
2015-02-21,2015-02,B02512,2267
2015-02-21,2015-02,B02598,12026
2015-02-21,2015-02,B02617,16485
2015-02-21,2015-02,B02682,16459
2015-02-21,2015-02,B02764,45499
2015-02-21,2015-02,B02765,7745
2015-02-22,2015-02,B02512,1441
2015-02-22,2015-02,B02598,8222
2015-02-22,2015-02,B02617,11051
2015-02-22,2015-02,B02682,11066
2015-02-22,2015-02,B02764,31005
2015-02-22,2015-02,B02765,5059
2015-02-23,2015-02,B02512,1946
2015-02-23,2015-02,B02598,8847
2015-02-23,2015-02,B02617,11943
2015-02-23,2015-02,B02682,11875
2015-02-23,2015-02,B02764,32010
2015-02-23,2015-02,B02765,5873
2015-02-24,2015-02,B02512,2014
2015-02-24,2015-02,B02598,9709
2015-02-24,2015-02,B02617,13938
2015-02-24,2015-02,B02682,12752
2015-02-24,2015-02,B02764,35692
2015-02-24,2015-02,B02765,6415
2015-02-25,2015-02,B02512,1756
2015-02-25,2015-02,B02598,9277
2015-02-25,2015-02,B02617,13081
2015-02-25,2015-02,B02682,12851
2015-02-25,2015-02,B02764,32780
2015-02-25,2015-02,B02765,6247
2015-02-26,2015-02,B02512,1931
2015-02-26,2015-02,B02598,10447
2015-02-26,2015-02,B02617,14749
2015-02-26,2015-02,B02682,13962
2015-02-26,2015-02,B02764,36931
2015-02-26,2015-02,B02765,6820
2015-02-27,2015-02,B02512,2204
2015-02-27,2015-02,B02598,10605
2015-02-27,2015-02,B02617,14900
2015-02-27,2015-02,B02682,15174
2015-02-27,2015-02,B02764,39703
2015-02-27,2015-02,B02765,7631
2015-02-28,2015-02,B02512,1915
2015-02-28,2015-02,B02598,10209
2015-02-28,2015-02,B02617,14238
2015-02-28,2015-02,B02682,14654
2015-02-28,2015-02,B02764,40849
2015-02-28,2015-02,B02765,7851
2015-03-01,2015-03,B02512,1512
2015-03-01,2015-03,B02598,7536
2015-03-01,2015-03,B02617,11658
2015-03-01,2015-03,B02682,11983
2015-03-01,2015-03,B02764,31783
2015-03-01,2015-03,B02765,6367
2015-03-02,2015-03,B02512,1500
2015-03-02,2015-03,B02598,6812
2015-03-02,2015-03,B02617,9567
2015-03-02,2015-03,B02682,9800
2015-03-02,2015-03,B02764,24519
2015-03-02,2015-03,B02765,5262
2015-03-03,2015-03,B02512,1969
2015-03-03,2015-03,B02598,8759
2015-03-03,2015-03,B02617,12245
2015-03-03,2015-03,B02682,13083
2015-03-03,2015-03,B02764,31937
2015-03-03,2015-03,B02765,7055
2015-03-04,2015-03,B02512,1626
2015-03-04,2015-03,B02598,8323
2015-03-04,2015-03,B02617,12049
2015-03-04,2015-03,B02682,12771
2015-03-04,2015-03,B02764,30607
2015-03-04,2015-03,B02765,6555
2015-03-05,2015-03,B02512,1917
2015-03-05,2015-03,B02598,9376
2015-03-05,2015-03,B02617,12384
2015-03-05,2015-03,B02682,13855
2015-03-05,2015-03,B02764,33113
2015-03-05,2015-03,B02765,6801
2015-03-06,2015-03,B02512,2036
2015-03-06,2015-03,B02598,9936
2015-03-06,2015-03,B02617,13492
2015-03-06,2015-03,B02682,14687
2015-03-06,2015-03,B02764,35454
2015-03-06,2015-03,B02765,7529
2015-03-07,2015-03,B02512,1670
2015-03-07,2015-03,B02598,8879
2015-03-07,2015-03,B02617,12568
2015-03-07,2015-03,B02682,14716
2015-03-07,2015-03,B02764,35934
2015-03-07,2015-03,B02765,7701
2015-03-08,2015-03,B02512,1154
2015-03-08,2015-03,B02598,6744
2015-03-08,2015-03,B02617,9854
2015-03-08,2015-03,B02682,11087
2015-03-08,2015-03,B02764,27364
2015-03-08,2015-03,B02765,5621
2015-03-09,2015-03,B02512,1434
2015-03-09,2015-03,B02598,6213
2015-03-09,2015-03,B02617,8647
2015-03-09,2015-03,B02682,9736
2015-03-09,2015-03,B02764,22761
2015-03-09,2015-03,B02765,5129
2015-03-10,2015-03,B02512,1881
2015-03-10,2015-03,B02598,8305
2015-03-10,2015-03,B02617,11663
2015-03-10,2015-03,B02682,12973
2015-03-10,2015-03,B02764,30384
2015-03-10,2015-03,B02765,6979
2015-03-11,2015-03,B02512,1636
2015-03-11,2015-03,B02598,7617
2015-03-11,2015-03,B02617,10611
2015-03-11,2015-03,B02682,11939
2015-03-11,2015-03,B02764,27364
2015-03-11,2015-03,B02765,6148
2015-03-12,2015-03,B02512,1713
2015-03-12,2015-03,B02598,8831
2015-03-12,2015-03,B02617,11729
2015-03-12,2015-03,B02682,13738
2015-03-12,2015-03,B02764,31188
2015-03-12,2015-03,B02765,6839
2015-03-13,2015-03,B02512,1787
2015-03-13,2015-03,B02598,8837
2015-03-13,2015-03,B02617,12237
2015-03-13,2015-03,B02682,14703
2015-03-13,2015-03,B02764,33756
2015-03-13,2015-03,B02765,7952
2015-03-14,2015-03,B02512,1843
2015-03-14,2015-03,B02598,9717
2015-03-14,2015-03,B02617,13845
2015-03-14,2015-03,B02682,17155
2015-03-14,2015-03,B02764,39040
2015-03-14,2015-03,B02765,9356
2015-03-15,2015-03,B02512,1153
2015-03-15,2015-03,B02598,7034
2015-03-15,2015-03,B02617,9715
2015-03-15,2015-03,B02682,11721
2015-03-15,2015-03,B02764,27513
2015-03-15,2015-03,B02765,6285
2015-03-16,2015-03,B02512,1325
2015-03-16,2015-03,B02598,5995
2015-03-16,2015-03,B02617,8690
2015-03-16,2015-03,B02682,10198
2015-03-16,2015-03,B02764,23077
2015-03-16,2015-03,B02765,5539
2015-03-17,2015-03,B02512,1373
2015-03-17,2015-03,B02598,7020
2015-03-17,2015-03,B02617,9566
2015-03-17,2015-03,B02682,11999
2015-03-17,2015-03,B02764,26846
2015-03-17,2015-03,B02765,6082
2015-03-18,2015-03,B02512,1538
2015-03-18,2015-03,B02598,8017
2015-03-18,2015-03,B02617,11015
2015-03-18,2015-03,B02682,13567
2015-03-18,2015-03,B02764,29614
2015-03-18,2015-03,B02765,6633
2015-03-19,2015-03,B02512,1657
2015-03-19,2015-03,B02598,8724
2015-03-19,2015-03,B02617,11891
2015-03-19,2015-03,B02682,14890
2015-03-19,2015-03,B02764,31437
2015-03-19,2015-03,B02765,7240
2015-03-20,2015-03,B02512,2031
2015-03-20,2015-03,B02598,10488
2015-03-20,2015-03,B02617,14277
2015-03-20,2015-03,B02682,18879
2015-03-20,2015-03,B02764,40040
2015-03-20,2015-03,B02765,9558
2015-03-21,2015-03,B02512,1487
2015-03-21,2015-03,B02598,8419
2015-03-21,2015-03,B02617,11733
2015-03-21,2015-03,B02682,16346
2015-03-21,2015-03,B02764,34352
2015-03-21,2015-03,B02765,8408
2015-03-22,2015-03,B02512,1338
2015-03-22,2015-03,B02598,7315
2015-03-22,2015-03,B02617,9843
2015-03-22,2015-03,B02682,13599
2015-03-22,2015-03,B02764,30318
2015-03-22,2015-03,B02765,6924
2015-03-23,2015-03,B02512,1492
2015-03-23,2015-03,B02598,6609
2015-03-23,2015-03,B02617,9545
2015-03-23,2015-03,B02682,11770
2015-03-23,2015-03,B02764,25033
2015-03-23,2015-03,B02765,6049
2015-03-24,2015-03,B02512,1499
2015-03-24,2015-03,B02598,7291
2015-03-24,2015-03,B02617,9795
2015-03-24,2015-03,B02682,12463
2015-03-24,2015-03,B02764,27155
2015-03-24,2015-03,B02765,6197
2015-03-25,2015-03,B02512,1675
2015-03-25,2015-03,B02598,8518
2015-03-25,2015-03,B02617,11152
2015-03-25,2015-03,B02682,14818
2015-03-25,2015-03,B02764,30528
2015-03-25,2015-03,B02765,7262
2015-03-26,2015-03,B02512,1726
2015-03-26,2015-03,B02598,9224
2015-03-26,2015-03,B02617,11961
2015-03-26,2015-03,B02682,15634
2015-03-26,2015-03,B02764,32309
2015-03-26,2015-03,B02765,7698
2015-03-27,2015-03,B02512,1731
2015-03-27,2015-03,B02598,9088
2015-03-27,2015-03,B02617,12111
2015-03-27,2015-03,B02682,17673
2015-03-27,2015-03,B02764,35834
2015-03-27,2015-03,B02765,8540
2015-03-28,2015-03,B02512,1647
2015-03-28,2015-03,B02598,9308
2015-03-28,2015-03,B02617,12998
2015-03-28,2015-03,B02682,19512
2015-03-28,2015-03,B02764,39464
2015-03-28,2015-03,B02765,9598
2015-03-29,2015-03,B02512,1535
2015-03-29,2015-03,B02598,7787
2015-03-29,2015-03,B02617,10699
2015-03-29,2015-03,B02682,15528
2015-03-29,2015-03,B02764,32403
2015-03-29,2015-03,B02765,7696
2015-03-30,2015-03,B02512,1437
2015-03-30,2015-03,B02598,6672
2015-03-30,2015-03,B02617,9232
2015-03-30,2015-03,B02682,13040
2015-03-30,2015-03,B02764,26030
2015-03-30,2015-03,B02765,6369
2015-03-31,2015-03,B02512,1743
2015-03-31,2015-03,B02598,8817
2015-03-31,2015-03,B02617,11766
2015-03-31,2015-03,B02682,16257
2015-03-31,2015-03,B02764,32611
2015-03-31,2015-03,B02765,7699
2015-04-01,2015-04,B02512,461
2015-04-01,2015-04,B02598,7942
2015-04-01,2015-04,B02617,10573
2015-04-01,2015-04,B02682,14991
2015-04-01,2015-04,B02764,28273
2015-04-01,2015-04,B02765,6983
2015-04-02,2015-04,B02512,481
2015-04-02,2015-04,B02598,8610
2015-04-02,2015-04,B02617,11247
2015-04-02,2015-04,B02682,16065
2015-04-02,2015-04,B02764,30064
2015-04-02,2015-04,B02765,7602
2015-04-03,2015-04,B02512,391
2015-04-03,2015-04,B02598,7742
2015-04-03,2015-04,B02617,10820
2015-04-03,2015-04,B02682,16942
2015-04-03,2015-04,B02764,32076
2015-04-03,2015-04,B02765,8012
2015-04-04,2015-04,B02512,381
2015-04-04,2015-04,B02598,6960
2015-04-04,2015-04,B02617,9647
2015-04-04,2015-04,B02682,15752
2015-04-04,2015-04,B02764,29081
2015-04-04,2015-04,B02765,7368
2015-04-05,2015-04,B02512,379
2015-04-05,2015-04,B02598,5893
2015-04-05,2015-04,B02617,8188
2015-04-05,2015-04,B02682,13022
2015-04-05,2015-04,B02764,24542
2015-04-05,2015-04,B02765,6333
