pickup_date,pickup_month,dispatching_base,trips
2015-04-06,2015-04,B02512,392
2015-04-06,2015-04,B02598,5564
2015-04-06,2015-04,B02617,7454
2015-04-06,2015-04,B02682,12277
2015-04-06,2015-04,B02764,22038
2015-04-06,2015-04,B02765,5840
2015-04-07,2015-04,B02512,519
2015-04-07,2015-04,B02598,7144
2015-04-07,2015-04,B02617,10001
2015-04-07,2015-04,B02682,15027
2015-04-07,2015-04,B02764,28295
2015-04-07,2015-04,B02765,7093
2015-04-08,2015-04,B02512,472
2015-04-08,2015-04,B02598,8030
2015-04-08,2015-04,B02617,10447
2015-04-08,2015-04,B02682,16125
2015-04-08,2015-04,B02764,29273
2015-04-08,2015-04,B02765,7676
2015-04-09,2015-04,B02512,507
2015-04-09,2015-04,B02598,8374
2015-04-09,2015-04,B02617,11561
2015-04-09,2015-04,B02682,17725
2015-04-09,2015-04,B02764,31522
2015-04-09,2015-04,B02765,7831
2015-04-10,2015-04,B02512,480
2015-04-10,2015-04,B02598,8611
2015-04-10,2015-04,B02617,11576
2015-04-10,2015-04,B02682,18658
2015-04-10,2015-04,B02764,33486
2015-04-10,2015-04,B02765,8628
2015-04-11,2015-04,B02512,493
2015-04-11,2015-04,B02598,8487
2015-04-11,2015-04,B02617,11265
2015-04-11,2015-04,B02682,19759
2015-04-11,2015-04,B02764,33763
2015-04-11,2015-04,B02765,8780
2015-04-12,2015-04,B02512,409
2015-04-12,2015-04,B02598,7003
2015-04-12,2015-04,B02617,9663
2015-04-12,2015-04,B02682,15524
2015-04-12,2015-04,B02764,28310
2015-04-12,2015-04,B02765,6817
2015-04-13,2015-04,B02512,426
2015-04-13,2015-04,B02598,5979
2015-04-13,2015-04,B02617,8181
2015-04-13,2015-04,B02682,13281
2015-04-13,2015-04,B02764,22810
2015-04-13,2015-04,B02765,5978
2015-04-14,2015-04,B02512,451
2015-04-14,2015-04,B02598,6930
2015-04-14,2015-04,B02617,9382
2015-04-14,2015-04,B02682,14875
2015-04-14,2015-04,B02764,25332
2015-04-14,2015-04,B02765,6423
2015-04-15,2015-04,B02512,453
2015-04-15,2015-04,B02598,7334
2015-04-15,2015-04,B02617,9945
2015-04-15,2015-04,B02682,15581
2015-04-15,2015-04,B02764,26650
2015-04-15,2015-04,B02765,6571
2015-04-16,2015-04,B02512,512
2015-04-16,2015-04,B02598,9004
2015-04-16,2015-04,B02617,11714
2015-04-16,2015-04,B02682,18442
2015-04-16,2015-04,B02764,31129
2015-04-16,2015-04,B02765,8007
2015-04-17,2015-04,B02512,453
2015-04-17,2015-04,B02598,9147
2015-04-17,2015-04,B02617,12042
2015-04-17,2015-04,B02682,20305
2015-04-17,2015-04,B02764,33198
2015-04-17,2015-04,B02765,8710
2015-04-18,2015-04,B02512,519
2015-04-18,2015-04,B02598,9448
2015-04-18,2015-04,B02617,13287
2015-04-18,2015-04,B02682,23304
2015-04-18,2015-04,B02764,38314
2015-04-18,2015-04,B02765,9324
2015-04-19,2015-04,B02512,452
2015-04-19,2015-04,B02598,8049
2015-04-19,2015-04,B02617,10840
2015-04-19,2015-04,B02682,18860
2015-04-19,2015-04,B02764,32263
2015-04-19,2015-04,B02765,7643
2015-04-20,2015-04,B02512,529
2015-04-20,2015-04,B02598,8521
2015-04-20,2015-04,B02617,11481
2015-04-20,2015-04,B02682,19270
2015-04-20,2015-04,B02764,30662
2015-04-20,2015-04,B02765,7613
2015-04-21,2015-04,B02512,437
2015-04-21,2015-04,B02598,7411
2015-04-21,2015-04,B02617,10042
2015-04-21,2015-04,B02682,16673
2015-04-21,2015-04,B02764,27421
2015-04-21,2015-04,B02765,6728
2015-04-22,2015-04,B02512,531
2015-04-22,2015-04,B02598,8911
2015-04-22,2015-04,B02617,12168
2015-04-22,2015-04,B02682,20189
2015-04-22,2015-04,B02764,32010
2015-04-22,2015-04,B02765,8315
2015-04-23,2015-04,B02512,511
2015-04-23,2015-04,B02598,10415
2015-04-23,2015-04,B02617,13628
2015-04-23,2015-04,B02682,22601
2015-04-23,2015-04,B02764,35899
2015-04-23,2015-04,B02765,9056
2015-04-24,2015-04,B02512,596
2015-04-24,2015-04,B02598,10908
2015-04-24,2015-04,B02617,14332
2015-04-24,2015-04,B02682,24790
2015-04-24,2015-04,B02764,39026
2015-04-24,2015-04,B02765,10036
2015-04-25,2015-04,B02512,636
2015-04-25,2015-04,B02598,10819
2015-04-25,2015-04,B02617,13907
2015-04-25,2015-04,B02682,27090
2015-04-25,2015-04,B02764,43169
2015-04-25,2015-04,B02765,10649
2015-04-26,2015-04,B02512,474
2015-04-26,2015-04,B02598,9036
2015-04-26,2015-04,B02617,12049
2015-04-26,2015-04,B02682,21777
2015-04-26,2015-04,B02764,36443
2015-04-26,2015-04,B02765,8894
2015-04-27,2015-04,B02512,487
2015-04-27,2015-04,B02598,6922
2015-04-27,2015-04,B02617,9101
2015-04-27,2015-04,B02682,16436
2015-04-27,2015-04,B02764,25395
2015-04-27,2015-04,B02765,6442
2015-04-28,2015-04,B02512,530
2015-04-28,2015-04,B02598,7077
2015-04-28,2015-04,B02617,9508
2015-04-28,2015-04,B02682,17644
2015-04-28,2015-04,B02764,27115
2015-04-28,2015-04,B02765,6989
2015-04-29,2015-04,B02512,505
2015-04-29,2015-04,B02598,8119
2015-04-29,2015-04,B02617,10823
2015-04-29,2015-04,B02682,19642
2015-04-29,2015-04,B02764,29325
2015-04-29,2015-04,B02765,7526
2015-04-30,2015-04,B02512,521
2015-04-30,2015-04,B02598,9098
2015-04-30,2015-04,B02617,12058
2015-04-30,2015-04,B02682,21686
2015-04-30,2015-04,B02764,32672
2015-04-30,2015-04,B02765,8295
2015-05-01,2015-05,B02512,1779
2015-05-01,2015-05,B02598,8930
2015-05-01,2015-05,B02617,11872
2015-05-01,2015-05,B02682,26039
2015-05-01,2015-05,B02764,34478
2015-05-01,2015-05,B02765,9231
2015-05-02,2015-05,B02512,1774
2015-05-02,2015-05,B02598,9330
2015-05-02,2015-05,B02617,12734
2015-05-02,2015-05,B02682,30380
2015-05-02,2015-05,B02764,40140
2015-05-02,2015-05,B02765,10620
2015-05-03,2015-05,B02512,1352
2015-05-03,2015-05,B02598,7431
2015-05-03,2015-05,B02617,9992
2015-05-03,2015-05,B02682,22803
2015-05-03,2015-05,B02764,30941
2015-05-03,2015-05,B02765,7781
2015-05-04,2015-05,B02512,1324
2015-05-04,2015-05,B02598,6610
2015-05-04,2015-05,B02617,8370
2015-05-04,2015-05,B02682,18624
2015-05-04,2015-05,B02764,24155
2015-05-04,2015-05,B02765,6364
2015-05-05,2015-05,B02512,1458
2015-05-05,2015-05,B02598,7581
2015-05-05,2015-05,B02617,10146
2015-05-05,2015-05,B02682,21527
2015-05-05,2015-05,B02764,27934
2015-05-05,2015-05,B02765,7549
2015-05-06,2015-05,B02512,1568
2015-05-06,2015-05,B02598,8095
2015-05-06,2015-05,B02617,10768
2015-05-06,2015-05,B02682,23270
2015-05-06,2015-05,B02764,29134
2015-05-06,2015-05,B02765,7612
2015-05-07,2015-05,B02512,1693
2015-05-07,2015-05,B02598,8736
2015-05-07,2015-05,B02617,11611
2015-05-07,2015-05,B02682,25745
2015-05-07,2015-05,B02764,31437
2015-05-07,2015-05,B02765,8139
2015-05-08,2015-05,B02512,1679
2015-05-08,2015-05,B02598,8751
2015-05-08,2015-05,B02617,11703
2015-05-08,2015-05,B02682,26542
2015-05-08,2015-05,B02764,32980
2015-05-08,2015-05,B02765,9078
2015-05-09,2015-05,B02512,1432
2015-05-09,2015-05,B02598,9014
2015-05-09,2015-05,B02617,11786
2015-05-09,2015-05,B02682,30128
2015-05-09,2015-05,B02764,36157
2015-05-09,2015-05,B02765,9842
2015-05-10,2015-05,B02512,1110
2015-05-10,2015-05,B02598,7504
2015-05-10,2015-05,B02617,9876
2015-05-10,2015-05,B02682,24208
2015-05-10,2015-05,B02764,29612
2015-05-10,2015-05,B02765,7836
2015-05-11,2015-05,B02512,1370
2015-05-11,2015-05,B02598,7245
2015-05-11,2015-05,B02617,8845
2015-05-11,2015-05,B02682,21045
2015-05-11,2015-05,B02764,25004
2015-05-11,2015-05,B02765,6801
2015-05-12,2015-05,B02512,1463
2015-05-12,2015-05,B02598,7926
2015-05-12,2015-05,B02617,9866
2015-05-12,2015-05,B02682,23548
2015-05-12,2015-05,B02764,28203
2015-05-12,2015-05,B02765,7431
2015-05-13,2015-05,B02512,1625
2015-05-13,2015-05,B02598,8575
2015-05-13,2015-05,B02617,11231
2015-05-13,2015-05,B02682,25426
2015-05-13,2015-05,B02764,30024
2015-05-13,2015-05,B02765,8056
2015-05-14,2015-05,B02512,1659
2015-05-14,2015-05,B02598,9696
2015-05-14,2015-05,B02617,11902
2015-05-14,2015-05,B02682,28502
2015-05-14,2015-05,B02764,33373
2015-05-14,2015-05,B02765,8492
2015-05-15,2015-05,B02512,1680
2015-05-15,2015-05,B02598,9603
2015-05-15,2015-05,B02617,12372
2015-05-15,2015-05,B02682,30978
2015-05-15,2015-05,B02764,35824
2015-05-15,2015-05,B02765,9299
2015-05-16,2015-05,B02512,1758
2015-05-16,2015-05,B02598,11125
2015-05-16,2015-05,B02617,14281
2015-05-16,2015-05,B02682,38170
2015-05-16,2015-05,B02764,44338
2015-05-16,2015-05,B02765,11885
2015-05-17,2015-05,B02512,1449
2015-05-17,2015-05,B02598,8341
2015-05-17,2015-05,B02617,11185
2015-05-17,2015-05,B02682,29798
2015-05-17,2015-05,B02764,34394
2015-05-17,2015-05,B02765,9155
2015-05-18,2015-05,B02512,1403
2015-05-18,2015-05,B02598,7375
2015-05-18,2015-05,B02617,9536
2015-05-18,2015-05,B02682,23824
2015-05-18,2015-05,B02764,27165
2015-05-18,2015-05,B02765,7111
2015-05-19,2015-05,B02512,1622
2015-05-19,2015-05,B02598,8373
2015-05-19,2015-05,B02617,11009
2015-05-19,2015-05,B02682,26549
2015-05-19,2015-05,B02764,30286
2015-05-19,2015-05,B02765,7532
2015-05-20,2015-05,B02512,1696
2015-05-20,2015-05,B02598,8823
2015-05-20,2015-05,B02617,11439
2015-05-20,2015-05,B02682,28707
2015-05-20,2015-05,B02764,32211
2015-05-20,2015-05,B02765,8186
2015-05-21,2015-05,B02512,1803
2015-05-21,2015-05,B02598,9259
2015-05-21,2015-05,B02617,12079
2015-05-21,2015-05,B02682,29895
2015-05-21,2015-05,B02764,33646
2015-05-21,2015-05,B02765,8464
2015-05-22,2015-05,B02512,1240
2015-05-22,2015-05,B02598,7465
2015-05-22,2015-05,B02617,9944
2015-05-22,2015-05,B02682,28408
2015-05-22,2015-05,B02764,30753
2015-05-22,2015-05,B02765,7961
2015-05-23,2015-05,B02512,982
2015-05-23,2015-05,B02598,6375
2015-05-23,2015-05,B02617,8743
2015-05-23,2015-05,B02682,26942
2015-05-23,2015-05,B02764,27597
2015-05-23,2015-05,B02765,7704
2015-05-24,2015-05,B02512,884
2015-05-24,2015-05,B02598,5466
2015-05-24,2015-05,B02617,7707
2015-05-24,2015-05,B02682,23002
2015-05-24,2015-05,B02764,24420
2015-05-24,2015-05,B02765,6849
2015-05-25,2015-05,B02512,794
2015-05-25,2015-05,B02598,4776
2015-05-25,2015-05,B02617,6386
2015-05-25,2015-05,B02682,20745
2015-05-25,2015-05,B02764,21159
2015-05-25,2015-05,B02765,5888
2015-05-26,2015-05,B02512,1228
2015-05-26,2015-05,B02598,6500
2015-05-26,2015-05,B02617,8915
2015-05-26,2015-05,B02682,23714
2015-05-26,2015-05,B02764,25809
2015-05-26,2015-05,B02765,6654
2015-05-27,2015-05,B02512,1683
2015-05-27,2015-05,B02598,8339
2015-05-27,2015-05,B02617,11328
2015-05-27,2015-05,B02682,28857
2015-05-27,2015-05,B02764,30445
2015-05-27,2015-05,B02765,8010
2015-05-28,2015-05,B02512,1570
2015-05-28,2015-05,B02598,9159
2015-05-28,2015-05,B02617,11625
2015-05-28,2015-05,B02682,31259
2015-05-28,2015-05,B02764,32603
2015-05-28,2015-05,B02765,8858
2015-05-29,2015-05,B02512,1540
2015-05-29,2015-05,B02598,8935
2015-05-29,2015-05,B02617,11575
2015-05-29,2015-05,B02682,33179
2015-05-29,2015-05,B02764,33577
2015-05-29,2015-05,B02765,9394
2015-05-30,2015-05,B02512,1450
2015-05-30,2015-05,B02598,8543
2015-05-30,2015-05,B02617,11958
2015-05-30,2015-05,B02682,35822
2015-05-30,2015-05,B02764,36753
2015-05-30,2015-05,B02765,9903
2015-05-31,2015-05,B02512,1378
2015-05-31,2015-05,B02598,7965
2015-05-31,2015-05,B02617,11099
2015-05-31,2015-05,B02682,32840
2015-05-31,2015-05,B02764,34178
2015-05-31,2015-05,B02765,9487
2015-06-01,2015-06,B02512,1673
2015-06-01,2015-06,B02598,8767
2015-06-01,2015-06,B02617,10972
2015-06-01,2015-06,B02682,30983
2015-06-01,2015-06,B02764,32210
2015-06-01,2015-06,B02765,8478
2015-06-01,2015-06,B02835,345
2015-06-01,2015-06,B02836,71
2015-06-02,2015-06,B02512,1746
2015-06-02,2015-06,B02598,9069
2015-06-02,2015-06,B02617,12038
2015-06-02,2015-06,B02682,32679
2015-06-02,2015-06,B02764,33107
2015-06-02,2015-06,B02765,8532
2015-06-02,2015-06,B02835,346
2015-06-02,2015-06,B02836,75
2015-06-03,2015-06,B02512,1467
2015-06-03,2015-06,B02598,8047
2015-06-03,2015-06,B02617,10795
2015-06-03,2015-06,B02682,29385
2015-06-03,2015-06,B02764,29417
2015-06-03,2015-06,B02765,7707
2015-06-03,2015-06,B02835,348
2015-06-03,2015-06,B02836,40
2015-06-04,2015-06,B02512,1450
2015-06-04,2015-06,B02598,8914
2015-06-04,2015-06,B02617,11570
2015-06-04,2015-06,B02682,31917
2015-06-04,2015-06,B02764,32305
2015-06-04,2015-06,B02765,8464
2015-06-04,2015-06,B02835,343
2015-06-04,2015-06,B02836,60
2015-06-05,2015-06,B02512,1638
2015-06-05,2015-06,B02598,8782
2015-06-05,2015-06,B02617,11704
2015-06-05,2015-06,B02682,35173
2015-06-05,2015-06,B02764,34724
2015-06-05,2015-06,B02765,9475
2015-06-05,2015-06,B02835,374
2015-06-05,2015-06,B02836,52
2015-06-06,2015-06,B02512,1324
2015-06-06,2015-06,B02598,8321
2015-06-06,2015-06,B02617,10989
2015-06-06,2015-06,B02682,36512
2015-06-06,2015-06,B02764,34844
2015-06-06,2015-06,B02765,9319
2015-06-06,2015-06,B02835,382
2015-06-06,2015-06,B02836,82
2015-06-07,2015-06,B02512,1260
2015-06-07,2015-06,B02598,7271
2015-06-07,2015-06,B02617,10084
2015-06-07,2015-06,B02682,30810
2015-06-07,2015-06,B02764,30956
2015-06-07,2015-06,B02765,8071
2015-06-07,2015-06,B02835,343
2015-06-07,2015-06,B02836,81
2015-06-08,2015-06,B02512,1290
2015-06-08,2015-06,B02598,6950
2015-06-08,2015-06,B02617,9095
2015-06-08,2015-06,B02682,26671
2015-06-08,2015-06,B02764,25793
2015-06-08,2015-06,B02765,6752
2015-06-08,2015-06,B02835,301
2015-06-08,2015-06,B02836,47
2015-06-09,2015-06,B02512,1520
2015-06-09,2015-06,B02598,7516
2015-06-09,2015-06,B02617,9936
2015-06-09,2015-06,B02682,28113
2015-06-09,2015-06,B02764,27533
2015-06-09,2015-06,B02765,7441
2015-06-09,2015-06,B02835,362
2015-06-09,2015-06,B02836,42
2015-06-10,2015-06,B02512,1537
2015-06-10,2015-06,B02598,8108
2015-06-10,2015-06,B02617,10443
2015-06-10,2015-06,B02682,30392
2015-06-10,2015-06,B02764,28936
2015-06-10,2015-06,B02765,7522
2015-06-10,2015-06,B02835,398
2015-06-10,2015-06,B02836,67
2015-06-11,2015-06,B02512,1678
2015-06-11,2015-06,B02598,9315
2015-06-11,2015-06,B02617,12040
2015-06-11,2015-06,B02682,35865
2015-06-11,2015-06,B02764,33617
2015-06-11,2015-06,B02765,9013
2015-06-11,2015-06,B02835,414
2015-06-11,2015-06,B02836,71
2015-06-12,2015-06,B02512,1746
2015-06-12,2015-06,B02598,8864
2015-06-12,2015-06,B02617,11573
2015-06-12,2015-06,B02682,36735
2015-06-12,2015-06,B02764,34346
2015-06-12,2015-06,B02765,9203
2015-06-12,2015-06,B02835,512
2015-06-12,2015-06,B02836,73
2015-06-13,2015-06,B02512,1319
2015-06-13,2015-06,B02598,8376
2015-06-13,2015-06,B02617,10823
2015-06-13,2015-06,B02682,37210
2015-06-13,2015-06,B02764,33615
2015-06-13,2015-06,B02765,9076
2015-06-13,2015-06,B02835,653
2015-06-13,2015-06,B02836,98
2015-06-14,2015-06,B02512,1160
2015-06-14,2015-06,B02598,7284
2015-06-14,2015-06,B02617,10060
2015-06-14,2015-06,B02682,32537
2015-06-14,2015-06,B02764,30968
2015-06-14,2015-06,B02765,8129
2015-06-14,2015-06,B02835,636
2015-06-14,2015-06,B02836,82
2015-06-15,2015-06,B02512,1396
2015-06-15,2015-06,B02598,7893
2015-06-15,2015-06,B02617,9644
2015-06-15,2015-06,B02682,30228
2015-06-15,2015-06,B02764,28509
2015-06-15,2015-06,B02765,7593
2015-06-15,2015-06,B02835,536
2015-06-15,2015-06,B02836,58
2015-06-16,2015-06,B02512,1612
2015-06-16,2015-06,B02598,7445
2015-06-16,2015-06,B02617,10263
2015-06-16,2015-06,B02682,31654
2015-06-16,2015-06,B02764,29472
2015-06-16,2015-06,B02765,7939
2015-06-16,2015-06,B02835,706
2015-06-16,2015-06,B02836,80
2015-06-17,2015-06,B02512,1586
2015-06-17,2015-06,B02598,8453
2015-06-17,2015-06,B02617,11113
2015-06-17,2015-06,B02682,32962
2015-06-17,2015-06,B02764,30523
2015-06-17,2015-06,B02765,8157
2015-06-17,2015-06,B02835,858
2015-06-17,2015-06,B02836,54
2015-06-18,2015-06,B02512,1763
2015-06-18,2015-06,B02598,9123
2015-06-18,2015-06,B02617,11816
2015-06-18,2015-06,B02682,35315
2015-06-18,2015-06,B02764,32021
2015-06-18,2015-06,B02765,8809
2015-06-18,2015-06,B02835,955
2015-06-18,2015-06,B02836,40
2015-06-19,2015-06,B02512,1593
2015-06-19,2015-06,B02598,8393
2015-06-19,2015-06,B02617,11198
2015-06-19,2015-06,B02682,36978
2015-06-19,2015-06,B02764,33281
2015-06-19,2015-06,B02765,9055
2015-06-19,2015-06,B02835,1130
2015-06-19,2015-06,B02836,75
2015-06-20,2015-06,B02512,1263
2015-06-20,2015-06,B02598,7792
2015-06-20,2015-06,B02617,10653
2015-06-20,2015-06,B02682,38040
2015-06-20,2015-06,B02764,33376
2015-06-20,2015-06,B02765,9161
2015-06-20,2015-06,B02835,1302
2015-06-20,2015-06,B02836,80
2015-06-21,2015-06,B02512,1169
2015-06-21,2015-06,B02598,7241
2015-06-21,2015-06,B02617,9527
2015-06-21,2015-06,B02682,32457
2015-06-21,2015-06,B02764,29872
2015-06-21,2015-06,B02765,7944
2015-06-21,2015-06,B02835,998
2015-06-21,2015-06,B02836,77
2015-06-22,2015-06,B02512,1251
2015-06-22,2015-06,B02598,6604
2015-06-22,2015-06,B02617,8505
2015-06-22,2015-06,B02682,27302
2015-06-22,2015-06,B02764,24489
2015-06-22,2015-06,B02765,6252
2015-06-22,2015-06,B02835,964
2015-06-22,2015-06,B02836,51
2015-06-23,2015-06,B02512,1709
2015-06-23,2015-06,B02598,7962
2015-06-23,2015-06,B02617,10867
2015-06-23,2015-06,B02682,33647
2015-06-23,2015-06,B02764,29774
2015-06-23,2015-06,B02765,7999
2015-06-23,2015-06,B02835,1146
2015-06-23,2015-06,B02836,68
2015-06-24,2015-06,B02512,1628
2015-06-24,2015-06,B02598,7864
2015-06-24,2015-06,B02617,10435
2015-06-24,2015-06,B02682,33231
2015-06-24,2015-06,B02764,29191
2015-06-24,2015-06,B02765,7609
2015-06-24,2015-06,B02835,1373
2015-06-24,2015-06,B02836,57
2015-06-25,2015-06,B02512,1653
2015-06-25,2015-06,B02598,8662
2015-06-25,2015-06,B02617,11426
2015-06-25,2015-06,B02682,36047
2015-06-25,2015-06,B02764,32060
2015-06-25,2015-06,B02765,8602
2015-06-25,2015-06,B02835,1561
2015-06-25,2015-06,B02836,62
2015-06-26,2015-06,B02512,1604
2015-06-26,2015-06,B02598,8183
2015-06-26,2015-06,B02617,10831
2015-06-26,2015-06,B02682,36307
2015-06-26,2015-06,B02764,32050
2015-06-26,2015-06,B02765,8616
2015-06-26,2015-06,B02835,1843
2015-06-26,2015-06,B02836,74
2015-06-27,2015-06,B02512,1885
2015-06-27,2015-06,B02598,10701
2015-06-27,2015-06,B02617,13992
2015-06-27,2015-06,B02682,49929
2015-06-27,2015-06,B02764,44842
2015-06-27,2015-06,B02765,12226
2015-06-27,2015-06,B02835,2515
2015-06-27,2015-06,B02836,103
2015-06-28,2015-06,B02512,1318
2015-06-28,2015-06,B02598,7115
2015-06-28,2015-06,B02617,9824
2015-06-28,2015-06,B02682,33562
2015-06-28,2015-06,B02764,30931
2015-06-28,2015-06,B02765,8518
2015-06-28,2015-06,B02835,1764
2015-06-28,2015-06,B02836,76
2015-06-29,2015-06,B02512,1226
2015-06-29,2015-06,B02598,6163
2015-06-29,2015-06,B02617,8180
2015-06-29,2015-06,B02682,27028
2015-06-29,2015-06,B02764,24020
2015-06-29,2015-06,B02765,6359
2015-06-29,2015-06,B02835,1406
2015-06-29,2015-06,B02836,48
2015-06-30,2015-06,B02512,1501
2015-06-30,2015-06,B02598,6695
2015-06-30,2015-06,B02617,9163
2015-06-30,2015-06,B02682,29487
2015-06-30,2015-06,B02764,26980
2015-06-30,2015-06,B02765,6947
2015-06-30,2015-06,B02835,1808
2015-06-30,2015-06,B02836,46
