month,year,record_type,label,url
2009-01,2009,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2009-01.parquet
2009-02,2009,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2009-02.parquet
2009-03,2009,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2009-03.parquet
2009-04,2009,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2009-04.parquet
2009-05,2009,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2009-05.parquet
2009-06,2009,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2009-06.parquet
2009-07,2009,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2009-07.parquet
2009-08,2009,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2009-08.parquet
2009-09,2009,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2009-09.parquet
2009-10,2009,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2009-10.parquet
2009-11,2009,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2009-11.parquet
2009-12,2009,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2009-12.parquet
2010-01,2010,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2010-01.parquet
2010-02,2010,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2010-02.parquet
2010-03,2010,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2010-03.parquet
2010-04,2010,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2010-04.parquet
2010-05,2010,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2010-05.parquet
2010-06,2010,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2010-06.parquet
2010-07,2010,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2010-07.parquet
2010-08,2010,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2010-08.parquet
2010-09,2010,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2010-09.parquet
2010-10,2010,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2010-10.parquet
2010-11,2010,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2010-11.parquet
2010-12,2010,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2010-12.parquet
2011-01,2011,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-01.parquet
2011-02,2011,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-02.parquet
2011-03,2011,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-03.parquet
2011-04,2011,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-04.parquet
2011-05,2011,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-05.parquet
2011-06,2011,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-06.parquet
2011-07,2011,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-07.parquet
2011-08,2011,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-08.parquet
2011-09,2011,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-09.parquet
2011-10,2011,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-10.parquet
2011-11,2011,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-11.parquet
2011-12,2011,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-12.parquet
2012-01,2012,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-01.parquet
2012-02,2012,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-02.parquet
2012-03,2012,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-03.parquet
2012-04,2012,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-04.parquet
2012-05,2012,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-05.parquet
2012-06,2012,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-06.parquet
2012-07,2012,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-07.parquet
2012-08,2012,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-08.parquet
2012-09,2012,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-09.parquet
2012-10,2012,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-10.parquet
2012-11,2012,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-11.parquet
2012-12,2012,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-12.parquet
2013-01,2013,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-01.parquet
2013-02,2013,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-02.parquet
2013-03,2013,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-03.parquet
2013-04,2013,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-04.parquet
2013-05,2013,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-05.parquet
2013-06,2013,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-06.parquet
2013-07,2013,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-07.parquet
2013-08,2013,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2013-08.parquet
2013-08,2013,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-08.parquet
2013-09,2013,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2013-09.parquet
2013-09,2013,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-09.parquet
2013-10,2013,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2013-10.parquet
2013-10,2013,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-10.parquet
2013-11,2013,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2013-11.parquet
2013-11,2013,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-11.parquet
2013-12,2013,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2013-12.parquet
2013-12,2013,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-12.parquet
2014-01,2014,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-01.parquet
2014-01,2014,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2014-01.parquet
2014-02,2014,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-02.parquet
2014-02,2014,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2014-02.parquet
2014-03,2014,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-03.parquet
2014-03,2014,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2014-03.parquet
2014-04,2014,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-04.parquet
2014-04,2014,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2014-04.parquet
2014-05,2014,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-05.parquet
2014-05,2014,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2014-05.parquet
2014-06,2014,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-06.parquet
2014-06,2014,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2014-06.parquet
2014-07,2014,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-07.parquet
2014-07,2014,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2014-07.parquet
2014-08,2014,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-08.parquet
2014-08,2014,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2014-08.parquet
2014-09,2014,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-09.parquet
2014-09,2014,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2014-09.parquet
2014-10,2014,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-10.parquet
2014-10,2014,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2014-10.parquet
2014-11,2014,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-11.parquet
2014-11,2014,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2014-11.parquet
2014-12,2014,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-12.parquet
2014-12,2014,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2014-12.parquet
2015-01,2015,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-01.parquet
2015-01,2015,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-01.parquet
2015-01,2015,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-01.parquet
2015-02,2015,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-02.parquet
2015-02,2015,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-02.parquet
2015-02,2015,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-02.parquet
2015-03,2015,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-03.parquet
2015-03,2015,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-03.parquet
2015-03,2015,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-03.parquet
2015-04,2015,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-04.parquet
2015-04,2015,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-04.parquet
2015-04,2015,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-04.parquet
2015-05,2015,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-05.parquet
2015-05,2015,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-05.parquet
2015-05,2015,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-05.parquet
2015-06,2015,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-06.parquet
2015-06,2015,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-06.parquet
2015-06,2015,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-06.parquet
2015-07,2015,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-07.parquet
2015-07,2015,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-07.parquet
2015-07,2015,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-07.parquet
2015-08,2015,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-08.parquet
2015-08,2015,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-08.parquet
2015-08,2015,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-08.parquet
2015-09,2015,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-09.parquet
2015-09,2015,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-09.parquet
2015-09,2015,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-09.parquet
2015-10,2015,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-10.parquet
2015-10,2015,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-10.parquet
2015-10,2015,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-10.parquet
2015-11,2015,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-11.parquet
2015-11,2015,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-11.parquet
2015-11,2015,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-11.parquet
2015-12,2015,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-12.parquet
2015-12,2015,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-12.parquet
2015-12,2015,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-12.parquet
2016-01,2016,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-01.parquet
2016-01,2016,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-01.parquet
2016-01,2016,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-01.parquet
2016-02,2016,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-02.parquet
2016-02,2016,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-02.parquet
2016-02,2016,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-02.parquet
2016-03,2016,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-03.parquet
2016-03,2016,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-03.parquet
2016-03,2016,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-03.parquet
2016-04,2016,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-04.parquet
2016-04,2016,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-04.parquet
2016-04,2016,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-04.parquet
2016-05,2016,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-05.parquet
2016-05,2016,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-05.parquet
2016-05,2016,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-05.parquet
2016-06,2016,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-06.parquet
2016-06,2016,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-06.parquet
2016-06,2016,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-06.parquet
2016-07,2016,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-07.parquet
2016-07,2016,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-07.parquet
2016-07,2016,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-07.parquet
2016-08,2016,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-08.parquet
2016-08,2016,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-08.parquet
2016-08,2016,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-08.parquet
2016-09,2016,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-09.parquet
2016-09,2016,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-09.parquet
2016-09,2016,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-09.parquet
2016-10,2016,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-10.parquet
2016-10,2016,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-10.parquet
2016-10,2016,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-10.parquet
2016-11,2016,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-11.parquet
2016-11,2016,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-11.parquet
2016-11,2016,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-11.parquet
2016-12,2016,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-12.parquet
2016-12,2016,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-12.parquet
2016-12,2016,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-12.parquet
2017-01,2017,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-01.parquet
2017-01,2017,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-01.parquet
2017-01,2017,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-01.parquet
2017-02,2017,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-02.parquet
2017-02,2017,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-02.parquet
2017-02,2017,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-02.parquet
2017-03,2017,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-03.parquet
2017-03,2017,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-03.parquet
2017-03,2017,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-03.parquet
2017-04,2017,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-04.parquet
2017-04,2017,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-04.parquet
2017-04,2017,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-04.parquet
2017-05,2017,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-05.parquet
2017-05,2017,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-05.parquet
2017-05,2017,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-05.parquet
2017-06,2017,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-06.parquet
2017-06,2017,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-06.parquet
2017-06,2017,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-06.parquet
2017-07,2017,fhv,For-Hire Vehicle Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-07.parquet
2017-07,2017,green,Green Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-07.parquet
2017-07,2017,yellow,Yellow Taxi Trip Records,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-07.parquet
